TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612747,Nick Smith Jr.,1641733,LAL,SG,Combo,25,318,676,146,20,28,9,2,19,0.453,0.391,2,18,69,7,0.053,0.714,57,0.429,0.421,0.519,0.391,-2.8,21.5,3.3,28.7,0.083,0.8,6.4,12.7,1.4,0.6,12.1
1610612737,Nickeil Alexander-Walker,1629638,ATL,SG,Combo,59,1953,4277,1166,210,222,71,33,123,0.499,0.372,36,174,476,231,0.254,0.593,202,0.222,0.391,0.524,0.372,2,24.1,5.2,34.1,0.251,2,9.7,16.4,1.7,1.5,10.9
1610612746,Nicolas Batum,201587,LAC,PF,Forward,56,1084,2227,239,151,53,40,20,35,0.444,0.394,20,131,188,2,0.01,0.5,7,0.036,0.429,0.954,0.394,3.4,9.7,0.2,12.6,0.056,2.2,13.7,6.5,1.8,1.7,14.8
1610612756,Nigel Hayes-Davis,1628502,PHX,SF,Forward,27,195,406,34,33,7,8,2,8,0.433,0.125,12,21,16,4,0.087,0.5,26,0.565,0.423,0.348,0.125,-20.2,12.1,-0,15,0.087,6.6,12.3,4.7,2,1,14.3
1610612743,Nikola Jokić,203999,DEN,C,Big,45,1554,3320,1296,568,471,62,34,166,0.635,0.401,141,427,222,221,0.275,0.751,360,0.448,0.564,0.276,0.401,11.8,31.5,19.3,58.3,0.44,10.7,29.6,51.6,2,2,14.8
1610612748,Nikola Jović,1631107,MIA,PF,Big,45,791,1778,339,152,100,26,17,65,0.483,0.27,25,127,162,76,0.248,0.605,67,0.219,0.343,0.533,0.27,-7.3,21.2,3.4,30,0.331,3.2,16.4,16.6,1.5,1.9,15.7
1610612760,Nikola Topić,1642260,OKC,PG,Point,5,53,107,16,8,10,0,0,11,0.455,0.4,2,6,5,3,0.188,1,8,0.5,0.25,0.312,0.4,-5.8,22,7.5,37.6,0,4.3,11.8,25,0,0,40.7
1610612738,Nikola Vučević,202696,BOS,C,Big,57,1695,3618,918,508,195,37,38,80,0.562,0.379,119,389,248,176,0.235,0.653,324,0.433,0.512,0.332,0.379,2.5,21.6,4.9,31.5,0.119,7.7,24.4,17.7,1,2,9.2
1610612758,Nique Clifford,1642363,SAC,SG,Wing,58,1305,2731,421,192,108,50,19,78,0.464,0.321,49,143,159,69,0.174,0.681,168,0.424,0.375,0.402,0.321,-6.3,16.4,1.9,22.8,0.167,4.1,12.7,11.3,1.8,1.3,15.5
1610612741,Noa Essengue,1642855,CHI,PF,Big,2,6,15,0,0,0,1,0,0,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,-55.8,21.1,NA,NA,0,0,0,0,7.9,0,0
